id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
6871190;TIENDA GP;1;1;688,97;1;688,97;5_green;platinum;2823;1944962,31
6873859;FCAMOB;1;1;0,0;1;0,0;5_green;;183;0,0
6884086;OBRASECA;1;1;0,0;1;0,0;5_green;;18;0,0
7030294;SIMISOLWEB;1;8;321,3125;155;4425,49;5_green;platinum;23997;7710536,0625
7200593;TIENDAS OFICIALESBH;3;10;34,557;2701;113517,22;5_green;platinum;81290;2809138,5300000003
7330411;DELIVERY-CARTUCHOS;1;1;113,76;1;113,76;5_green;platinum;3085;350949,60000000003
7410014;FACU.NAPOLI;1;1;31,2;1;31,2;;;0;0,0
7848567;ERNESTO_SHOES;1;1;22,8;150;3419,83;5_green;platinum;5232;119289,6
7851432;INGENIO HOGAR;1;1;52,22;1;52,22;5_green;platinum;6309;329455,98
8029138;BOOST-INFORMATICA;1;1;0,0;1;0,0;5_green;;76;0,0
8055562;CARESTINO BEBES;1;5;265,68;5;1328,4;5_green;platinum;29551;7851109,680000001
8071239;NINE QUEENS;1;5;0,0;5;0,0;4_light_green;;61;0,0
8264426;BAHIAPESCADEPORTIVA;1;3;65,77666666666666;52;3724,5699999999997;5_green;platinum;16930;1113598,9666666666
8303819;HAB2003;1;1;0,19;1;0,19;;;0;0,0
8323995;CART2013;1;1;0,3;1;0,3;;;3;0,8999999999999999
8364089;ADMA-DISTRIBUIDORA;1;4;28,3475;1501;54968,32;5_green;platinum;50984;1445268,94
8529816;PAÑALWEB;1;1;14,82;1;14,82;5_green;platinum;85199;1262649,18
8851794;MAXIMOPAL;1;3;0,0;3;0,0;;;0;0,0
8854257;BG ELECTRONICA;1;1;50,28;1;50,28;5_green;platinum;22492;1130897,76
8860693;LAUREANO.ADAN83;1;1;61,43;1;61,43;5_green;platinum;2826;173601,18
8902237;ACRIL ONLINE;1;1;24,66;500;12330,79;5_green;platinum;10721;264379,86
9048891;ACCESORIOS DURAGOMA;1;1;13,55;1;13,55;5_green;platinum;27849;377353,95
9137597;ROYAL2002;1;1;42,6;1;42,6;5_green;platinum;6398;272554,8
9221319;ACERO QUEENS;1;2;9,57;2;19,14;5_green;platinum;6580;62970,6
9511745;ROBYFRO;1;1;94,8;1;94,8;;;1;94,8
9641036;CASALIBERTELLA;1;4;657,29;4;2629,16;5_green;platinum;9429;6197587,409999999
9649614;DETINTAS;1;1;27,6;1;27,6;5_green;platinum;64805;1788618,0
9696552;MUNDOJW.;1;1;62,73;1;62,73;5_green;platinum;29303;1838177,19
9725742;DESIGNLAB.3DS;1;2;14,89;2;29,78;5_green;platinum;6063;90278,07
9871270;ELOIE;1;1;70,8;1;70,8;;;0;0,0
9877009;TIOMUSA;4;4;68,7875;4;275,15;5_green;platinum;103477;7117924,137499999
9937333;FERRETERIACENTRALSRL;1;1;11,16;50;558,0;5_green;platinum;16023;178816,68
9969484;KIOSCO_MATEO;1;2;84,0;2;168,0;5_green;platinum;20395;1713180,0
9975026;MOLAMAQ;1;1;419,24;1;419,24;5_green;;3604;1510940,96
10022007;SOLODEPORTES SOLOURBANO;1;6;75,495;1151;87658,2;5_green;platinum;90838;6857814,8100000005
10034731;DMX SRL;1;1;579,6;1;579,6;5_green;platinum;26576;15403449,600000001
10136298;MALDONADO OFFICE;1;1;0,0;1;0,0;5_green;;117;0,0
10145536;ARIELCATIVA;1;1;0,0;1;0,0;4_light_green;;11;0,0
10145716;ESPACIOMM;1;1;0,0;1;0,0;;;0;0,0
10460649;FAYDA;1;1;21,6;1;21,6;;;0;0,0
10477825;PCMIDICENTER;1;6;75,39666666666666;105;1264,23;5_green;platinum;13120;989204,2666666666
10513860;RUMMA.AM;1;2;120,57;10000;1205723,76;5_green;gold;1545;186280,65
10567786;LU-CES;1;2;72,0;2;144,0;5_green;;288;20736,0
10609748;ALBECALD;1;1;0,0;1;0,0;5_green;;94;0,0
10612557;BAIRESDEPORTES;1;1;45,36;1;45,36;5_green;platinum;45659;2071092,24
10798293;CINA151054;1;1;660,0;1;660,0;;;7;4620,0
10907777;ARRECIFESPESCASEBA;1;1;97,09;1;97,09;5_green;platinum;1580;153402,2
10943983;POOL MARKET;1;1;26,64;500;13318,8;5_green;platinum;36738;978700,3200000001
10950734;NIICCO.-;1;1;0,0;1;0,0;5_green;;18;0,0
10967474;RELOJES_TERRA;2;2;11,825000000000001;150;1527,6;5_green;platinum;7223;85411,975
11044061;SOLYMARHOGARSRL;1;2;177,6;2;355,2;5_green;platinum;21155;3757128,0
11053822;MINISTOREARGENTINA;1;2;9,93;100;993,48;5_green;gold;1904;18906,72
11111962;DEPOHOME;2;4;10,4875;1400;14144,4;5_green;platinum;156966;1646180,925
11146656;SENECA99;1;1;12,6;1;12,6;;;2;25,2
11151716;DELFI2003;1;1;0,0;1;0,0;;;0;0,0
11176277;SOLANGE ECHARREN;1;1;0,0;1;0,0;4_light_green;;9;0,0
11234483;KALTONBAGS;1;1;44,28;1;44,28;5_green;platinum;6945;307524,60000000003
11249034;DISTRIBUIDORAINSACOMAR;1;1;15,18;1;15,18;5_green;platinum;6456;98002,08
11255320;AZRAIM;1;1;250,93;1;250,93;5_green;platinum;18300;4592019,0
11818653;GAZEBOSYCARPAS;1;1;0,0;1;0,0;;;0;0,0
11826707;JURATECH;1;1;81,6;50;4079,94;5_green;platinum;3479;283886,39999999997
11830284;ROCKOSHOP;1;1;70,8;1;70,8;;;3;212,39999999999998
11844928;FUSIONMUSICAL;1;2;462,24;2;924,48;5_green;gold;1176;543594,24
11858484;TAROTERIA.AFRODITA;1;3;43,99;3;131,97;5_green;platinum;10525;462994,75
11968355;GASOIL73;1;1;0,0;1;0,0;;;0;0,0
12146211;BONPOLYC;1;1;0,0;1;0,0;5_green;platinum;4798;0,0
12196090;MEGAINK-AR;1;1;16,22;500;8111,4;5_green;platinum;2419;39236,18
12310924;SECRETOS-INTIMOS;1;1;10,94;1;10,94;5_green;platinum;2564;28050,16
12722582;DKPROP;1;13;516,7384615384616;13;6717,6;;;0;0,0
12922702;ALEXIAN__COMPUTACION;1;1;0,0;1;0,0;5_green;;22;0,0
13161638;DV DISTRIBUIDORA;1;2;8,535;2;17,07;5_green;platinum;47588;406163,58
13217745;OBJETOSYARTES;1;1;61,74;1;61,74;4_light_green;;67;4136,58
13262009;MATAFUEGOSONLINE;1;3;36,13666666666666;6000;77399,11;5_green;platinum;72422;2617089,673333333
13404008;NUBEL EMPRENDIMIENTOS;1;1;8,4;1;8,4;5_green;platinum;10683;89737,2
13419406;OESTE MUSICA;1;1;403,9;1;403,9;5_green;platinum;7492;3026018,8
13647702;LIBERCAM;14;58;24,460819672131144;10664;208238,68;5_green;platinum;813745;19904869,70409836
13648780;SANTIBAR;1;2;0,0;2;0,0;5_green;;21;0,0
13850115;ROS_GONZ2007;1;1;0,03;1;0,03;;;8;0,24
13858810;LIBRERIAAGUILAR_MF;1;1;1,91;5000;9527,28;5_green;;113343;216485,13
13970335;TIENDA-DE-FIESTA;1;20;9,455499999999999;14855;139773,86;5_green;platinum;98058;927187,4189999999
14440309;3DEDOS PRINT;1;1;0,0;1;0,0;5_green;;698;0,0
14500081;ELGAUCHOMULTIREP;1;13;133,44;111;13203,95;5_green;platinum;37076;4947421,4399999995
15054428;RANDOMSOLUCIONES;1;2;167,985;51;7428,96;5_green;gold;1090;183103,65000000002
15072493;MANCHASDELOPEZ;1;1;0,0;1;0,0;;;2;0,0
